Tamanho_N,Cenario,Algoritmo,Tempo_Execucao_s
10,Lista Não Ordenada (Caso Médio),Comb Sort,2.607600254123099e-05
10,Lista Não Ordenada (Caso Médio),Bubble Sort,5.964400043012574e-05
10,Lista Já Ordenada (Melhor Caso),Comb Sort,1.4654000551672652e-05
10,Lista Já Ordenada (Melhor Caso),Bubble Sort,5.8299992815591395e-06
10,Lista Invertida (Pior Caso),Comb Sort,2.5010001991176978e-05
10,Lista Invertida (Pior Caso),Bubble Sort,2.603599932626821e-05
100,Lista Não Ordenada (Caso Médio),Comb Sort,0.00034921199767268263
100,Lista Não Ordenada (Caso Médio),Bubble Sort,0.001389033997838851
100,Lista Já Ordenada (Melhor Caso),Comb Sort,0.00016155599951162003
100,Lista Já Ordenada (Melhor Caso),Bubble Sort,1.7758997273631394e-05
100,Lista Invertida (Pior Caso),Comb Sort,0.00020497099831118248
100,Lista Invertida (Pior Caso),Bubble Sort,0.001819514000089839
1000,Lista Não Ordenada (Caso Médio),Comb Sort,0.0012482769998314325
1000,Lista Não Ordenada (Caso Médio),Bubble Sort,0.037390057997981785
1000,Lista Já Ordenada (Melhor Caso),Comb Sort,0.0008114880001812708
1000,Lista Já Ordenada (Melhor Caso),Bubble Sort,4.471600186661817e-05
1000,Lista Invertida (Pior Caso),Comb Sort,0.0009635940004955046
1000,Lista Invertida (Pior Caso),Bubble Sort,0.049178936998941936
10000,Lista Não Ordenada (Caso Médio),Comb Sort,0.021002861998567823
10000,Lista Não Ordenada (Caso Médio),Bubble Sort,4.165176626000175
10000,Lista Já Ordenada (Melhor Caso),Comb Sort,0.013399070001469227
10000,Lista Já Ordenada (Melhor Caso),Bubble Sort,0.00047977600115700625
10000,Lista Invertida (Pior Caso),Comb Sort,0.014966314000048442
10000,Lista Invertida (Pior Caso),Bubble Sort,5.264325818003272
100000,Lista Não Ordenada (Caso Médio),Comb Sort,0.27653021500009345
100000,Lista Não Ordenada (Caso Médio),Bubble Sort,432.2459023020019
100000,Lista Já Ordenada (Melhor Caso),Comb Sort,0.1764025619995664
100000,Lista Já Ordenada (Melhor Caso),Bubble Sort,0.005023830999562051
100000,Lista Invertida (Pior Caso),Comb Sort,0.21107490400027018
100000,Lista Invertida (Pior Caso),Bubble Sort,558.2784061159982
